Program Time [s],data 0,data 1,data 2
1921.81,387.95,2050,4050
1922.82,388.4,2050,4050
1923.83,388.85,2050,4050
1924.84,389.3,2050,4050
1925.85,390.2,2050,4050
1926.86,390.65,2050,4050
1927.86,391.1,2050,4050
1928.87,392,2050,4050
1929.88,392,2050,4050
1930.88,392.9,2050,4050
1931.89,393.35,2050,4050
1932.9,393.8,2050,4050
1933.9,394.7,2050,4050
1934.91,394.7,2050,4050
1935.92,395.15,2050,4050
1936.93,395.6,2050,4050
1937.94,396.5,2050,4050
1938.95,396.95,2050,4050
1939.95,397.4,2050,4050
1940.96,397.85,2050,4050
1941.97,398.75,2050,4050
1942.98,398.75,2050,4050
1943.98,399.65,2050,4050
1944.99,400.1,2050,4050
1946,400.55,2050,4050
1947.01,401,2050,4050
1948.02,401.9,2050,4050
1949.03,402.35,2050,4050
1950.03,402.8,2050,4050
1951.04,403.25,2050,4050
1952.06,403.7,2050,4050
1953.07,404.15,2050,4050
1954.08,404.6,2050,4050
1955.08,405.5,2050,4050
1956.09,405.95,2050,4050
1957.1,406.85,2050,4050
1958.11,407.3,2050,4050
1959.11,407.75,2050,4050
1960.11,408.2,2050,4050
1961.12,408.65,2050,4050
1962.13,409.1,2050,4050
1963.14,410,2050,4050
1964.15,410,2050,4050
1965.15,410.9,2050,4050
1966.16,410.9,2050,4050
1967.17,411.8,2050,4050
1968.17,412.25,2050,4050
1969.17,412.7,2050,4050
1970.18,413.6,2050,4050
1971.18,413.6,2050,4050
1972.19,414.05,2050,4050
1973.19,414.95,2050,4050
1974.19,415.4,2050,4050
1975.2,415.85,2050,4050
1976.2,416.3,2050,4050
1977.21,416.75,2050,4050
1978.22,417.65,2050,4050
1979.22,418.1,2050,4050
1980.24,418.55,2050,4050
1981.24,419,2050,4050
1982.25,419,2050,4050
1983.26,419.9,2050,4050
1984.27,420.8,2050,4050
1985.27,420.8,2050,4050
1986.28,421.25,2050,4050
1987.28,421.7,2050,4050
1988.29,422.6,2050,4050
1989.3,423.05,2050,4050
1990.31,423.05,2050,4050
1991.32,423.95,2050,4050
1992.32,424.4,2050,4050
1993.34,424.85,2050,4050
1994.34,425.3,2050,4050
1995.35,426.2,2050,4050
1996.36,426.65,2050,4050
1997.36,427.1,2050,4050
1998.37,427.55,2050,4050
1999.39,428,2050,4050
2000.4,428.45,2050,4050
2001.41,428.9,2050,4050
2002.42,429.35,2050,4050
2003.42,430.25,2050,4050
2004.43,430.25,2050,4050
2005.44,431.15,2050,4050
2006.44,431.6,2050,4050
2007.45,431.6,2050,4050
2008.46,432.5,2050,4050
2009.46,432.95,2050,4050
2010.47,433.4,2050,4050
2011.48,434.3,2050,4050
2012.49,434.75,2050,4050
2013.5,434.75,2050,4050
2014.5,435.2,2050,4050
2015.51,436.1,2050,4050
2016.52,436.55,2050,4050
2017.52,436.55,2050,4050
2018.53,437.45,2050,4050
2019.54,438.35,2050,4050
2020.54,438.35,2050,4050
2021.55,438.8,2050,4050
2022.56,439.25,2050,4050
2023.58,440.15,2050,4050
2024.58,440.15,2050,4050
2025.59,441.05,2050,4050
2026.6,441.05,2050,4050
2027.61,441.95,2050,4050
2028.62,442.4,2050,4050
2029.62,442.85,2050,4050
2030.63,443.3,2050,4050
2031.64,443.75,2050,4050
2032.65,444.65,2050,4050
2033.66,444.65,2050,4050
2034.67,445.1,2050,4050
2035.68,445.55,2050,4050
2036.68,446,2050,4050
2037.69,446.45,2050,4050
2038.7,447.35,2050,4050
2039.71,447.8,2050,4050
2040.71,448.25,2050,4050
2041.72,448.7,2050,4050
2042.73,449.15,2050,4050
2043.73,449.6,2050,4050
2044.74,450.05,2050,4050
2045.75,450.5,2050,4050
2046.76,450.95,2050,4050
2047.77,451.4,2050,4050
2048.78,451.85,2050,4050
2049.78,452.3,2050,4050
2050.79,453.2,2050,4050
2051.8,453.2,2050,4050
2052.81,454.1,2050,4050
2053.82,454.1,2050,4050
2054.82,455,2050,4050
2055.83,455,2050,4050
2056.84,455.45,2050,4050
2057.85,455.9,2050,4050
2058.86,456.35,2050,4050
2059.86,457.25,2050,4050
2060.87,457.25,2050,4050
2061.88,458.15,2050,4050
2062.89,458.6,2050,4050
2063.9,459.05,2050,4050
2064.9,459.5,2050,4050
2065.91,459.95,2050,4050
2066.92,460.4,2050,4050
2067.92,460.85,2050,4050
2068.93,461.3,2050,4050
2069.94,461.75,2050,4050
2070.95,462.2,2050,4050
2071.96,462.65,2050,4050
2072.96,463.1,2050,4050
2073.97,463.55,2050,4050
2074.98,464,2050,4050
2075.98,464.9,2050,4050
2076.99,464.9,2050,4050
2078,465.35,2050,4050
2079.01,465.8,2050,4050
2080.02,466.25,2050,4050
2081.03,466.7,2050,4050
2082.04,467.15,2050,4050
2083.04,467.6,2050,4050
2084.04,468.05,2050,4050
2085.05,468.5,2050,4050
2086.06,469.4,2050,4050
2087.07,469.4,2050,4050
2088.08,469.85,2050,4050
2089.09,470.75,2050,4050
2090.09,471.2,2050,4050
2091.1,471.2,2050,4050
2092.11,472.1,2050,4050
2093.11,472.55,2050,4050
2094.12,472.55,2050,4050
2095.12,473,2050,4050
2096.13,473.45,2050,4050
2097.14,474.35,2050,4050
2098.15,474.8,2050,4050
2099.15,475.25,2050,4050
2100.16,475.25,2050,4050
2101.17,476.15,2050,4050
2102.18,476.6,2050,4050
2103.19,477.05,2050,4050
2104.2,477.5,2050,4050
2105.2,477.95,2050,4050
2106.21,478.4,2050,4050
2107.22,478.85,2050,4050
2108.23,479.3,2050,4050
